$213 ,Spirit,6/15/20 4:24 AM
$213 ,Spirit,6/15/20 5:54 AM
$213 ,American,6/15/20 7:24 AM
$213 ,American,6/15/20 8:54 AM
$213 ,American,6/15/20 10:24 AM
$213 ,American,6/15/20 11:54 AM
$213 ,American,6/15/20 1:24 PM
$213 ,American,6/15/20 2:54 PM
$218 ,American,6/15/20 4:24 PM
$218 ,American,6/15/20 5:54 PM
$213 ,Spirit,6/15/20 7:24 PM
$213 ,Spirit,6/15/20 8:54 PM
$213 ,Spirit,6/15/20 10:24 PM
$213 ,Spirit,6/15/20 11:54 PM
$253 ,Spirit,6/16/20 1:24 AM
$253 ,Spirit,6/16/20 2:54 AM
$253 ,Spirit,6/16/20 4:24 AM
$253 ,Spirit,6/16/20 5:54 AM
$129 ,American,6/16/20 7:24 AM
$129 ,American,6/16/20 8:54 AM
$129 ,American,6/16/20 10:24 AM
$129 ,American,6/16/20 11:54 AM
$129 ,American,6/16/20 1:24 PM
$129 ,American,6/16/20 2:54 PM
$129 ,American,6/16/20 4:24 PM
$129 ,American,6/16/20 5:54 PM
$129 ,American,6/16/20 7:24 PM
$129 ,American,6/16/20 8:35 PM
$129 ,American,6/16/20 10:05 PM
$129 ,American,6/16/20 11:35 PM
$129 ,American,6/17/20 1:05 AM
$253 ,Spirit,6/17/20 2:35 AM
$129 ,American,6/17/20 4:05 AM
$129 ,American,6/17/20 5:35 AM
$129 ,American,6/17/20 7:05 AM
$129 ,American,6/17/20 8:35 AM
$129 ,American,6/17/20 10:05 AM
$294 ,American,6/17/20 11:35 AM
$294 ,American,6/17/20 1:05 PM
$294 ,American,6/17/20 2:35 PM
$129 ,American,6/17/20 4:05 PM
$129 ,American,6/17/20 5:35 PM
$294 ,American,6/17/20 7:05 PM
$294 ,American,6/17/20 8:35 PM
$294 ,American,6/17/20 10:05 PM
$218 ,American,6/17/20 11:35 PM
$218 ,American,6/18/20 1:05 AM
$218 ,American,6/18/20 2:35 AM
$218 ,American,6/18/20 4:05 AM
$218 ,American,6/18/20 5:35 AM
$218 ,American,6/18/20 7:05 AM
$218 ,American,6/18/20 8:35 AM
$218 ,American,6/18/20 10:05 AM
$218 ,American,6/18/20 11:35 AM
$218 ,American,6/18/20 1:05 PM
$218 ,American,6/18/20 2:35 PM
$218 ,American,6/18/20 4:05 PM
$218 ,American,6/18/20 5:35 PM
$218 ,American,6/18/20 7:05 PM
$218 ,American,6/18/20 8:35 PM
$218 ,American,6/18/20 10:05 PM
$218 ,American,6/18/20 11:35 PM
$218 ,American,6/19/20 1:05 AM
$218 ,American,6/19/20 2:35 AM
$218 ,American,6/19/20 4:05 AM
$218 ,American,6/19/20 5:35 AM
$218 ,American,6/19/20 7:05 AM
$218 ,American,6/19/20 8:35 AM
$218 ,American,6/19/20 10:05 AM
$218 ,American,6/19/20 11:35 AM
$218 ,American,6/19/20 1:05 PM
$218 ,American,6/19/20 2:35 PM
$218 ,American,6/19/20 4:05 PM
$218 ,American,6/19/20 5:35 PM
$294 ,American,6/19/20 7:05 PM
$294 ,American,6/19/20 9:31 PM
$293 ,Spirit,6/19/20 11:01 PM
$294 ,American,6/20/20 12:31 AM
$294 ,American,6/20/20 2:01 AM
$294 ,American,6/20/20 3:31 AM
$294 ,American,6/20/20 5:01 AM
$294 ,American,6/20/20 6:31 AM
$294 ,American,6/20/20 8:01 AM
$218 ,American,6/20/20 9:31 AM
$294 ,American,6/20/20 11:01 AM
$294 ,American,6/20/20 12:31 PM
$294 ,American,6/20/20 2:01 PM
$294 ,American,6/20/20 3:31 PM
$129 ,American,6/20/20 5:01 PM
$129 ,American,6/20/20 6:31 PM
$129 ,American,6/20/20 8:01 PM
$129 ,American,6/20/20 9:31 PM
$340 ,Spirit,6/20/20 11:01 PM
$340 ,Spirit,6/21/20 12:31 AM
$294 ,American,6/21/20 2:01 AM
$129 ,American,6/21/20 3:31 AM
$129 ,American,6/21/20 5:01 AM
$294 ,American,6/21/20 6:31 AM
$129 ,American,6/21/20 8:01 AM
$294 ,American,6/21/20 9:31 AM
$218 ,American,6/21/20 11:01 AM
$294 ,American,6/21/20 12:31 PM
$294 ,American,6/21/20 2:01 PM
$653 ,American,6/21/20 3:31 PM
"$1,132 ",Alaska,6/21/20 5:01 PM
